
----------------------Identifiers for file birthDateToCurrentAge.py-----------------------------------

identifier = json, Row = 1, Col = [7, 11]
identifier = time, Row = 2, Col = [7, 11]
identifier = get_baidu_poi, Row = 6, Col = [4, 17]
identifier = output, Row = 6, Col = [47, 53]
identifier = now_time, Row = 14, Col = [4, 12]
identifier = strftime, Row = 14, Col = [20, 28]
identifier = page_num, Row = 15, Col = [4, 12]
identifier = logfile, Row = 16, Col = [4, 11]
identifier = open, Row = 16, Col = [14, 18]
identifier = output, Row = 16, Col = [19, 25]
identifier = now_time, Row = 16, Col = [34, 42]
identifier = encoding, Row = 16, Col = [59, 67]
identifier = file, Row = 17, Col = [4, 8]
identifier = open, Row = 17, Col = [11, 15]
identifier = output, Row = 17, Col = [16, 22]
identifier = now_time, Row = 17, Col = [31, 39]
identifier = encoding, Row = 17, Col = [56, 64]
identifier = URL, Row = 20, Col = [12, 15]
identifier = roi_key, Row = 20, Col = [70, 77]
identifier = city_str, Row = 21, Col = [29, 37]
identifier = baidu_ak, Row = 23, Col = [25, 33]
identifier = str, Row = 26, Col = [31, 34]
identifier = page_num, Row = 26, Col = [35, 43]
identifier = resp, Row = 27, Col = [12, 16]
identifier = get, Row = 27, Col = [28, 31]
identifier = URL, Row = 27, Col = [32, 35]
identifier = res, Row = 28, Col = [12, 15]
identifier = loads, Row = 28, Col = [23, 28]
identifier = text, Row = 28, Col = [34, 38]
identifier = len, Row = 29, Col = [15, 18]
identifier = res, Row = 29, Col = [19, 22]
identifier = writelines, Row = 30, Col = [24, 34]
identifier = strftime, Row = 30, Col = [40, 48]
identifier = city_str, Row = 30, Col = [78, 86]
identifier = str, Row = 30, Col = [95, 98]
identifier = page_num, Row = 30, Col = [99, 107]
identifier = r, Row = 33, Col = [20, 21]
identifier = res, Row = 33, Col = [25, 28]
identifier = j_name, Row = 34, Col = [20, 26]
identifier = r, Row = 34, Col = [29, 30]
identifier = j_lat, Row = 35, Col = [20, 25]
identifier = r, Row = 35, Col = [28, 29]
identifier = j_lon, Row = 36, Col = [20, 25]
identifier = r, Row = 36, Col = [28, 29]
identifier = j_area, Row = 37, Col = [20, 26]
identifier = r, Row = 37, Col = [29, 30]
identifier = j_add, Row = 38, Col = [20, 25]
identifier = r, Row = 38, Col = [28, 29]
identifier = j_str, Row = 39, Col = [20, 25]
identifier = str, Row = 39, Col = [28, 31]
identifier = j_name, Row = 39, Col = [32, 38]
identifier = str, Row = 39, Col = [48, 51]
identifier = j_lon, Row = 39, Col = [52, 57]
identifier = str, Row = 39, Col = [67, 70]
identifier = j_lat, Row = 39, Col = [71, 76]
identifier = str, Row = 39, Col = [86, 89]
identifier = j_area, Row = 39, Col = [90, 96]
identifier = str, Row = 39, Col = [106, 109]
identifier = j_add, Row = 39, Col = [110, 115]
identifier = writelines, Row = 40, Col = [25, 35]
identifier = j_str, Row = 40, Col = [36, 41]
identifier = page_num, Row = 41, Col = [12, 20]
identifier = sleep, Row = 42, Col = [17, 22]
identifier = print, Row = 44, Col = [12, 17]
identifier = writelines, Row = 45, Col = [20, 30]
identifier = strftime, Row = 45, Col = [36, 44]
identifier = city_str, Row = 45, Col = [74, 82]
identifier = str, Row = 45, Col = [91, 94]
identifier = page_num, Row = 45, Col = [95, 103]

------------------------------------------------------------------------------------------

----------------------Identifiers for file battery.py-----------------------------------

identifier = psutil, Row = 1, Col = [7, 13]
identifier = battery, Row = 3, Col = [0, 7]
identifier = sensors_battery, Row = 3, Col = [17, 32]
identifier = plugged, Row = 4, Col = [0, 7]
identifier = power_plugged, Row = 4, Col = [18, 31]
identifier = percent, Row = 5, Col = [0, 7]
identifier = percent, Row = 5, Col = [18, 25]
identifier = percent, Row = 7, Col = [3, 10]
identifier = plugged, Row = 7, Col = [21, 28]
identifier = pynotifier, Row = 11, Col = [9, 19]
identifier = Notification, Row = 11, Col = [27, 39]
identifier = Notification, Row = 13, Col = [4, 16]
identifier = title, Row = 14, Col = [8, 13]
identifier = description, Row = 15, Col = [8, 19]
identifier = str, Row = 15, Col = [20, 23]
identifier = percent, Row = 15, Col = [24, 31]
identifier = duration, Row = 16, Col = [8, 16]
identifier = send, Row = 18, Col = [6, 10]

------------------------------------------------------------------------------------------

----------------------Identifiers for file biling_system.py-----------------------------------

identifier = tkinter, Row = 0, Col = [5, 12]
identifier = random, Row = 1, Col = [7, 13]
identifier = os, Row = 2, Col = [7, 9]
identifier = tkinter, Row = 3, Col = [5, 12]
identifier = messagebox, Row = 3, Col = [20, 30]
identifier = Bill_App, Row = 6, Col = [6, 14]
identifier = __init__, Row = 7, Col = [8, 16]
identifier = root, Row = 7, Col = [23, 27]
identifier = root, Row = 8, Col = [13, 17]
identifier = root, Row = 8, Col = [20, 24]
identifier = root, Row = 9, Col = [13, 17]
identifier = geometry, Row = 9, Col = [18, 26]
identifier = root, Row = 10, Col = [13, 17]
identifier = title, Row = 10, Col = [18, 23]
identifier = bg_color, Row = 11, Col = [8, 16]
identifier = title, Row = 12, Col = [8, 13]
identifier = Label, Row = 12, Col = [16, 21]
identifier = root, Row = 12, Col = [27, 31]
identifier = text, Row = 12, Col = [33, 37]
identifier = font, Row = 12, Col = [58, 62]
identifier = pady, Row = 12, Col = [96, 100]
identifier = bd, Row = 12, Col = [104, 106]
identifier = bg, Row = 12, Col = [111, 113]
identifier = fg, Row = 12, Col = [125, 127]
identifier = GROOVE, Row = 12, Col = [144, 150]
identifier = pack, Row = 13, Col = [14, 18]
identifier = X, Row = 13, Col = [24, 25]
identifier = sanitizer, Row = 15, Col = [13, 22]
identifier = IntVar, Row = 15, Col = [25, 31]
identifier = mask, Row = 16, Col = [13, 17]
identifier = IntVar, Row = 16, Col = [20, 26]
identifier = hand_gloves, Row = 17, Col = [13, 24]
identifier = IntVar, Row = 17, Col = [27, 33]
identifier = dettol, Row = 18, Col = [13, 19]
identifier = IntVar, Row = 18, Col = [22, 28]
